r	w	x	a	rb	wb	xb	ab	rt	wt	xt	at	rp	wp	xp	ap	rw	rx	rwp	rxp	rbp	wb+	xbp	abp	rwb	rxb	rwbp	rxbp	rtp	wtp	xtp	at+	rwt	rxt	rwtp	rxtp
r	w	x	a	rb	wb	xb	ab	rt	wt	xt	at	r+	w+	x+	a+	rw	rx	rw+	rx+	rb+	wb+	xb+	ab+	rwb	rxb	rwb+	rxb+	rt+	wt+	xt+	atp	rwt	rxt	rwt+	rxt+
